date,log_return,historical_simulation,parametric_normal,parametric_t,ewma,historical_simulation_dollar_mm,parametric_normal_dollar_mm,parametric_t_dollar_mm,ewma_dollar_mm,bank
2020-12-16,0.0027898267655287,0.1030106887788839,0.08652606339816353,0.08829249670096455,0.054443238688989176,128.3640255008054,107.82214875164443,110.02334255215324,67.84299146296382,BAC
2020-12-17,0.0038225646235735,0.1030106887788839,0.08649627322687915,0.08826269907207329,0.05280860534604042,128.8556443073256,108.19783023445532,110.40744501425922,66.05806589102437,BAC
2020-12-18,-0.0055653983952455,0.1030106887788839,0.08648456769837008,0.08825104379901604,0.051246142956819445,128.14050317979823,107.58277760810581,109.78019167333687,63.74781706980316,BAC
2020-12-21,0.0366417767238364,0.1030106887788839,0.08652815131166249,0.08829457321361399,0.04978605929982401,132.92288123676184,111.65415275617855,113.93350736947617,64.24291038148509,BAC
2020-12-22,-0.0179819344261726,0.1030106887788839,0.0865625185075557,0.08833254774277853,0.05259058109503458,130.5540327717513,109.70789548159355,111.95120107950358,66.65242732727003,BAC
2020-12-23,0.0283516416677406,0.1030106887788839,0.0866959622465994,0.08846655934495942,0.052007574643147744,134.30842402172678,113.0367944959784,115.34535207070385,67.80903487119829,BAC
2020-12-24,-0.0029996603012672,0.1030106887788839,0.08666702445613823,0.08843975524371489,0.05294744943061004,133.90614802137588,112.66061360202069,114.96503029952318,68.82770210408451,BAC
2020-12-28,0.0056582513961604,0.1030106887788839,0.08665376667578267,0.08842644472372588,0.051362898521997775,134.66597027584578,113.28255063413488,115.59997431261725,67.14676552150686,BAC
2020-12-29,-0.0039905418887228,0.1030106887788839,0.08664311671643808,0.08841587764000602,0.049902418434827664,134.1296508946673,112.81752539823826,115.12582763965204,64.97766438423348,BAC
2020-12-30,-0.0010002193482784,0.1030106887788839,0.0866885778409591,0.088460969902462,0.048435582123356705,133.9955588945503,112.76387504317101,115.06938981718764,63.00465489492469,BAC
