bank,period,stated_conf,actual_violation_rate,expected_rate,excess_rate,n_violations,n_trading_days
C,2022Q3,0.9900000000000001,0.015625,0.010000000000000009,0.005624999999999991,1.0,64.0
C,2022Q4,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2023Q1,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
C,2023Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
C,2023Q3,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2023Q4,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2024Q1,0.9900000000000002,0.0,0.010000000000000009,-0.010000000000000009,0.0,61.0
C,2024Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2024Q3,0.9900000000000001,0.015625,0.010000000000000009,0.005624999999999991,1.0,64.0
C,2024Q4,0.9900000000000001,0.015625,0.010000000000000009,0.005624999999999991,1.0,64.0
GS,2019Q1,0.9500000000000003,0.016666666666666666,0.05000000000000003,-0.03333333333333337,1.0,60.0
GS,2019Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2019Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2019Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2020Q1,0.9500000000000003,0.016129032258064516,0.050000000000000024,-0.03387096774193551,1.0,62.0
GS,2020Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2020Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2020Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2021Q1,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,61.0
GS,2021Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2021Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2021Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2022Q1,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,62.0
GS,2022Q2,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,62.0
GS,2022Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
GS,2022Q4,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2023Q1,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,62.0
GS,2023Q2,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,62.0
GS,2023Q3,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2023Q4,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2024Q1,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,61.0
GS,2024Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
GS,2024Q3,0.9500000000000001,0.046875,0.050000000000000044,-0.0031250000000000444,3.0,64.0
GS,2024Q4,0.9500000000000001,0.03125,0.050000000000000044,-0.018750000000000044,2.0,64.0
JPM,2019Q1,0.9500000000000003,0.016666666666666666,0.05000000000000003,-0.03333333333333337,1.0,60.0
JPM,2019Q2,0.9500000000000004,0.06349206349206349,0.05000000000000002,0.013492063492063472,4.0,63.0
JPM,2019Q3,0.9500000000000001,0.015625,0.050000000000000044,-0.034375000000000044,1.0,64.0
JPM,2019Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
JPM,2020Q1,0.9500000000000003,0.11290322580645161,0.050000000000000024,0.06290322580645158,7.0,62.0
JPM,2020Q2,0.9500000000000004,0.047619047619047616,0.05000000000000002,-0.0023809523809524002,3.0,63.0
JPM,2020Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
JPM,2020Q4,0.9500000000000001,0.015625,0.050000000000000044,-0.034375000000000044,1.0,64.0
JPM,2021Q1,0.9500000000000003,0.01639344262295082,0.050000000000000024,-0.03360655737704921,1.0,61.0
JPM,2021Q2,0.9500000000000004,0.047619047619047616,0.05000000000000002,-0.0023809523809524002,3.0,63.0
JPM,2021Q3,0.9500000000000001,0.09375,0.050000000000000044,0.043749999999999956,6.0,64.0
JPM,2021Q4,0.9500000000000001,0.046875,0.050000000000000044,-0.0031250000000000444,3.0,64.0
JPM,2022Q1,0.9500000000000003,0.1935483870967742,0.050000000000000024,0.14354838709677417,12.0,62.0
